Full of life & exciting [Latitude],Full of life & exciting [Longitude],Full of life & exciting [# times visited],Full of life & exciting [Duration],Chaotic & restless [Latitude],Chaotic & restless [Longitude],Chaotic & restless [# times visited],Chaotic & restless [Duration],Calm & tranquil [Latitude],Calm & tranquil [Longitude],Calm & tranquil [# times visited],Calm & tranquil [Duration],Boring & lifeless [Latitude],Boring & lifeless [Longitude],Boring & lifeless [# times visited],Boring & lifeless [Duration]
1.3004365019100033,103.85386850531005,4,90.0,1.3057700359182958,103.8526883333435,4,60,1.295030555486623,103.84704496557616,4,60,1.274511451927849,103.8471576183548,1,10
1.2782119819800208,103.84399797613524,4,240.0,1.2872219458643552,103.84833242590332,4,120,1.2926708133504694,103.84695913488768,2,120,1.277697125943922,103.85262396032714,1,10
1.2836233271905269,103.84853627378844,1,180.0,1.2830502849834329,103.84389960891107,3,60,1.2875651819556646,103.86936094458008,1,30,1.2748225111805098,103.845757505249,2,30
1.280690108192613,103.85044203109656,4,60.0,1.2806326488866668,103.85045280904534,4,60,1.2811114934184042,103.84772198302754,4,1,1.2803644926757172,103.85339485599444,4,5
1.3070871798553323,103.84328049907224,4,45.0,1.3205590553180426,103.82971925029295,4,10,1.311291785723234,103.8159863401367,4,60,1.32206069297789,103.84630603084103,4,90
1.3131581136169204,103.8156430173828,4,75.0,1.308803346367323,103.8310067106201,3,30,1.3489613041944135,103.76410168895262,4,60,1.3368142345250218,103.79316074141995,1,60
1.3069299,103.9349594,4,90.0,1.3126534568007049,103.87944716736756,4,45,1.2737864,103.8174964,4,60,1.3307585,103.8471983,2,30
1.3043054832045693,103.83150807190556,3,30.0,1.3043842152212677,103.83405370006102,1,15,1.313093757505837,103.81590050944824,4,120,1.3055426289916854,103.82220906505124,1,30
1.3144666875159976,103.88877076396484,2,120.0,1.310912,103.7951937,4,90,1.3508490552864023,103.8178746152832,1,60,1.3124072922179355,103.81568593272704,4,90
1.2644032,103.8222071,3,180.0,1.350553512702861,103.84871455714462,3,30,1.3019687,103.8970821,3,120,1.2819046,103.8239182,4,30
1.3599445626804518,103.84259385356444,4,180.0,1.3324863236305624,103.84997529277342,4,120,1.3540562,103.7769454,4,180,1.3164938,103.8965689,1,60
1.332486323630575,103.85237855205077,1,60.0,1.3199583999999978,103.88877076396484,1,60,1.3124072922179355,103.81512803325194,1,60,1.3251068694395889,103.80105180034178,1,60
1.3504843762123662,103.84812993297118,4,180.0,1.3005335582095634,103.84524387607117,4,360,1.3102513609483726,103.81364745387572,1,120,1.3015310827353423,103.85967416057127,4,60
1.3014989045310017,103.90495644845596,1,60.0,1.3127719769256243,103.88001603374022,1,15,1.3358542648602445,103.82379693278808,1,60,1.284004626913563,103.78234071025388,1,60
1.3298691941446172,103.78128928432004,2,90.0,1.3325399533040874,103.8470355916931,2,10,1.31326537379837,103.81547135600584,4,30,1.290311590670496,103.86941594371336,2,115
1.3157058,103.8161825,4,40.0,1.2993554,103.8520184,4,30,1.2769228,103.841196,4,30,1.3063651,103.8266182,2,5
1.313351181940209,103.81577176341553,1,30.0,1.310912,103.7951937,1,30,1.361231660020221,103.84843034038084,1,30,1.330255328177822,103.85267895946043,1,10
1.3506808,103.8487631,4,60.0,1.3019687,103.8970821,1,5,1.3540562,103.7769454,1,60,1.3417044,103.77593,2,30
1.3506808,103.8487631,4,120.0,1.3508449,103.8481737,4,120,1.3447621,103.8223506,1,120,1.3490142,103.8390947,4,480
1.3200544,103.8917746,4,120.0,1.310912,103.7951937,4,90,1.3548163,103.7762985,4,120,1.2941664,103.7861271,4,60
1.350377117650786,103.84834450969235,4,60.0,1.312857785084384,103.88020915278928,1,10,1.3551393932192215,103.77701920756834,4,120,1.3334731094364989,103.8004080701782,1,5
1.3342641,103.8490489,4,120.0,1.3200544,103.8917746,2,30,1.3634088,103.8435614,4,120,1.3222623,103.8704758,1,60
1.3321859974372476,103.84752911815184,4,120.0,1.3148528239454194,103.88362092265623,4,90,1.3426115852394649,103.83229417094724,4,360,1.3378063815494992,103.79341286906735,4,30
1.3332665885797672,103.84824960171356,2,60.0,1.3141101,103.8791277,4,60,1.3548163,103.7762985,1,120,1.3046994768557298,103.90845048683316,4,30
1.2817956093551004,103.84479636692372,4,210.0,1.284291234337027,103.84288096454026,4,90,1.289519204286648,103.844678893376,4,210,1.290935844039308,103.76625055825042,1,30
1.3372057304258298,103.77959412822264,4,60.0,1.334374087435559,103.7860528875305,4,3,1.3467303237431536,103.83401078471678,4,30,1.337827833372641,103.7951294828369,4,30
1.302796758447367,103.83933228740231,1,60.0,1.309318196091967,103.85169190654295,1,30,1.2930574747715724,103.84701413402098,1,30,1.3042555025470677,103.84671372661133,1,30
1.2631731769024386,103.82283556428224,4,120.0,1.3082884965369697,103.88589543590086,3,30,1.3059287667966208,103.869351570697,4,20,1.3451846,103.8584553,4,480
1.341670964914408,103.83411489679446,4,90.0,1.3505657765804264,103.8474905947939,4,60,1.298954909532415,103.90808886296752,4,120,1.3640651872561584,103.83878457324926,4,30
1.310912,103.7951937,2,120.0,1.26245102655068,103.8238593407532,4,60,1.276492751678165,103.81509369259034,1,180,1.3424036380095148,103.8484204632294,2,15
1.3045772842199788,103.83206886539,4,120.0,1.3022229140295885,103.834407751651,4,30,1.295889164639619,103.84733599910275,4,60,1.2990587228389232,103.838913862796,4,30
1.3109048446109206,103.7951546942756,4,90.0,1.3149600840540596,103.76435489053137,4,90,1.313294548252685,103.81585588629122,4,120,1.2842878,103.7824933,4,120
1.3420431129734347,103.83476180324097,4,10.0,1.3126003605991994,103.8389675069763,4,10,1.3702520478925586,103.82625383624573,4,20,1.3045129278886611,103.90813094863432,4,5
1.2814942,103.8448202,4,90.0,1.3173615,103.8454801,4,30,1.2895263,103.8397852,4,90,1.2938682,103.8466283,4,60
1.3030541839381289,103.82903260478514,2,60.0,1.3236052336232926,103.8271872449829,3,10,1.3086317297689478,103.81701630839842,3,60,1.3188858008569897,103.83340996989745,2,45
1.3200544,103.8917746,1,180.0,1.3516087,103.899516,1,180,1.3294113,103.8020777,1,90,1.310912,103.7951937,1,60
1.332314708667425,103.84757203349608,4,120.0,1.31644027308291,103.88284844645996,4,30,1.336905404808908,103.8229386259033,2,180,1.2835326766179396,103.8177673269226,4,60
